,vid,did,pid,class_id,voc_id,type_id,drive_id,fuel_id,day_id,max_elevation,min_elevation,mean_elevation,delta_elevation,total_elevation_gained,total_elevation_lost,max_climbing_rate,average_climbing_rate,max_descending_rate,average_descending_rate,maximum_kinetic_power_density_demand,total_kinetic_power_density_demand,average_kinetic_power_density_demand,maximum_kinetic_power_density_regen,total_kinetic_power_density_regen,average_kinetic_power_density_regen,maximum_potential_power_density_demand,total_potential_power_density_demand,average_potential_power_density_demand,maximum_potential_power_density_regen,total_potential_power_density_regen,average_potential_power_density_regen,maximum_aerodynamic_power_density_demand,total_aerodynamic_power_density_demand,average_aerodynamic_power_density_demand,maximum_aerodynamic_power_density_regen,total_aerodynamic_power_density_regen,average_aerodynamic_power_density_regen,maximum_rolling_power_density_demand,total_rolling_power_density_demand,average_rolling_power_density_demand,maximum_rolling_power_density_regen,total_rolling_power_density_regen,average_rolling_power_density_regen,characteristic_acceleration_standard,characteristic_deceleration_standard,aerodynamic_speed_standard,kinetic_intensity_standard
0,236,25,17,7,10,5,0,1,260,1134.0230748644199,812.267175046907,930.552093399646,-5.211904468903191,11801.589076664299,11801.589076664299,8.06441215817699,0.8202383289313531,-3.14462242840818e-05,-0.821114192999035,18.2998611717744,55899.5276810137,3.86393362003274,-31.464730850223397,-55899.5276810134,-3.90905787979115,24.1050676112527,35275.7395124906,2.45174725552479,-29.4860192886341,-35291.3182437286,-2.45436527183592,7679.29267185217,20563014.974576198,722.777327753119,0.0,0.0,0.0,268.346460513059,2728965.37857939,94.8644411506028,0.0,0.0,0.0,0.802334631028804,-0.8025183016826171,39.884555455461395,2.66305385203527
1,236,25,17,7,10,5,0,1,262,980.389264357959,829.034205860524,903.180322952936,-18.1117345164728,2085.07845186429,2085.07845186429,3.6930683254139502,0.691339009238822,-1.951459466909e-05,-0.563253933149641,8.112204209579449,4841.03956058699,1.51235225260449,-11.6392604701571,-4841.03956058698,-1.36405735716737,11.0388283647946,6232.439026072359,2.06645856302134,-11.8966928034011,-6286.57621257934,-1.6836036991374799,1103.5030356872098,705082.398326955,105.53545851323999,0.0,0.0,0.0,140.46965976562402,351830.834763193,52.12308663158421,0.0,0.0,0.0,0.7515991517417601,-0.756549861842417,20.5690086174567,9.379797954502749
2,236,25,17,7,10,5,0,1,263,1069.3714861264,814.712412546869,902.408918634083,9.08400263292776,5661.096641667271,5661.096641667271,7.64678670769547,0.943516106944545,-2.50091483167125e-05,-1.03916393436925,16.8280712446488,18194.347199147902,3.10377809606754,-26.635588704731003,-18194.347199147902,-3.26238967171381,22.8567571922682,16921.3967025308,2.82023278375514,-25.8048744244825,-16894.2440107594,-3.1061305406801702,9736.008169706929,19443171.0355249,1716.38162389874,0.0,0.0,0.0,290.381097725651,1379374.08597169,120.58519852886499,0.0,0.0,0.0,0.5833356340212211,-0.5827022945722861,54.5510218066951,1.03501501376511
3,236,25,17,7,10,5,0,1,264,960.183215330625,794.714237495112,871.904798522865,-7.85050395262124,10662.8391119069,10662.8391119069,5.87456558807071,0.689615774926067,-9.59002629770112e-05,-0.598501697730677,14.3656533551034,47217.7775295178,3.00348435401805,-18.7071412015993,-47217.7435721496,-2.6874071469635497,17.5594696686725,31871.9396626829,2.0613077003416698,-13.413664439735,-31895.405344353,-1.78896210355898,4185.673642768839,12368139.808915801,375.63444721240995,0.0,0.0,0.0,219.067962733382,2349933.93730108,70.5876644528876,0.0,0.0,0.0,0.799269270109638,-0.7995905496862091,33.333788957501,3.7980237425669996
4,236,25,17,7,10,5,0,1,265,1052.67483007615,813.786729797455,889.442209119618,-35.6088262192129,2378.54619922199,2378.54619922199,5.431199039156129,0.7904773011704859,-0.000416893447891198,-0.8203041200955521,17.6019068159897,7779.973977019859,2.6248225293589305,-21.460987634947397,-7779.973977019879,-2.60373961747653,16.2342173838774,7109.6337617862,2.36278955193958,-18.7595135750989,-7216.07092629807,-2.45194390971732,10564.2377222717,9663612.92147901,1638.17815247991,0.0,0.0,0.0,298.396119733756,636324.808944067,106.90941010485001,0.0,0.0,0.0,0.5578243802172161,-0.563206088506884,56.622717410967205,0.9186498281656229
5,236,25,17,7,10,5,0,1,266,1059.39366426576,777.949990074247,854.164462817119,-35.2379082894631,7041.466500280992,7041.466500280992,5.874050117680779,0.643761793772261,-0.000100896113394811,-0.691016932777118,14.309458555345,33242.091269827404,3.34393836332636,-23.654535739537398,-33242.0912698273,-2.9580077656012898,17.5579288931817,21047.4145842781,1.92424708212453,-17.8164845965001,-21152.7430502761,-2.06549585492394,7407.99885959428,17923248.5719625,853.73195065078,0.0,0.0,0.0,265.102030547371,1939617.02638493,91.5820872744193,0.0,0.0,0.0,0.6676292788279139,-0.6693764501165219,44.168306006737204,1.8069569710905098
6,236,25,17,7,10,5,0,1,268,1058.54873914551,786.3536026297991,862.450276527677,-29.9671909281078,9089.80592237934,9089.80592237934,6.19729366999172,0.696857246425893,-2.7121881430503e-05,-0.7196790651284302,15.4063357653134,38924.444513607996,3.16458898484618,-19.8371492985954,-38924.4445136079,-2.9013449995235496,18.5241255024977,27170.038191804102,2.08295294325392,-20.9421055308122,-27259.6121308925,-2.15116888659189,7568.835388825791,29517690.7418757,1159.01094478859,0.0,0.0,0.0,266.99342643649504,2589067.16135507,100.67923321492701,0.0,0.0,0.0,0.609665699470716,-0.6107788248112409,49.0602666054074,1.33741403500575
7,236,25,17,7,10,5,0,1,270,1054.4492380358,785.6038532128109,868.602818322858,-21.9366314827307,9351.18493952101,9351.18493952101,6.19043131252442,0.6821201356423521,-0.000137922469548357,-0.704692998346273,15.924975206807101,40536.507026075495,3.12805826268042,-26.6516766388321,-40536.507026075604,-2.88495530752798,18.5036134567989,27951.317565524398,2.0389027329144698,-27.4133978915244,-28016.8876250258,-2.10637453011246,8602.67718700393,32928322.1342628,1228.76043489301,0.0,0.0,0.0,278.63268008842897,2766460.92258712,102.42358099174801,0.0,0.0,0.0,0.5887923091745949,-0.589554891527021,50.128291595743505,1.2371724589015098
8,236,25,17,7,10,5,0,1,271,1055.96255509481,773.950745262885,858.191553459641,-43.443118004124,8984.487050557858,8984.487050557858,6.40088789150525,0.683907060254081,-6.42535959514134e-05,-0.735892579765404,16.3932868904246,38501.0262937834,3.1961668847570404,-24.8984510744353,-38501.0262937834,-2.8820290660815497,19.1326822551269,26855.2330359909,2.0442439701599198,-21.877825352606802,-26985.0874229185,-2.19963216685022,10612.1828985888,34680690.0179287,1377.14688551518,0.0,0.0,0.0,298.842747537356,2628681.05221959,103.471011699256,0.0,0.0,0.0,0.590129405349744,-0.591718773275062,52.7758565319135,1.11869216670395
9,236,25,17,7,10,5,0,1,272,1054.68707696356,803.706754355253,873.336238263929,-11.766693265882198,6902.27630310881,6902.27630310881,6.11880683024935,0.702164425545149,-0.00010457130690610899,-0.7261887402977351,15.2269794277569,34250.5801642086,3.61102584757075,-25.912051101205698,-34250.5801642087,-3.4715771502340096,18.289523086168398,20631.3657703226,2.0988164567978203,-18.2690543773322,-20666.5372039213,-2.1706267413004197,7691.160534519491,23028196.0876727,1201.70099085074,0.0,0.0,0.0,268.438344951067,1991236.49365829,102.900960862916,0.0,0.0,0.0,0.6583403580913589,-0.658908651920854,49.4115992979352,1.4237265376477302
