,vid,month,fuel_cost_total,insurance_cost,maintenance_cost,total_cost
0,1,January,28.13,186.99,1162.36,1377.48
1,2,January,22.42,201.49,1274.76,1498.67
2,3,January,33.42,215.92,1294.36,1543.6999999999998
3,4,January,26.89,222.07,1157.44,1406.4
4,5,January,27.910000000000004,206.86,1280.58,1515.35
5,6,January,46.41,202.44,1205.69,1454.54
6,8,January,64.08,207.1,1144.86,1416.04
7,9,January,10.93,210.51,1139.58,1361.02
8,10,January,51.15,190.36,1323.5,1565.01
9,11,January,3.15,192.62,1189.69,1385.46
10,12,January,28.4,186.73,1163.11,1378.2399999999998
11,14,January,9.43,187.42,1389.26,1586.11
12,15,January,24.799999999999997,237.66,1218.73,1481.19
13,16,January,51.55,215.7,1076.56,1343.81
14,17,January,47.370000000000005,186.31,1210.51,1444.19
15,18,January,29.67,200.85,1177.82,1408.34
16,20,January,0.0,206.15,1166.01,1372.16
17,23,January,22.2,198.2,1230.97,1451.37
18,24,January,53.53,180.72,973.47,1207.72
19,25,January,98.58000000000001,228.93,1223.5,1551.01
20,26,January,0.0,176.23,1100.28,1276.51
21,28,January,53.15,217.37,1253.04,1523.56
22,29,January,106.4,201.08,1257.04,1564.52
23,30,January,80.18,183.73,931.49,1195.4
24,31,January,70.21000000000001,196.77,1248.95,1515.93
25,32,January,151.65,162.99,1264.19,1578.83
26,33,January,0.0,205.5,1223.3,1428.8
27,36,January,7.7700000000000005,214.57,1123.94,1346.28
28,37,January,21.48,189.4,1324.37,1535.25
29,38,January,30.94,205.96,1285.03,1521.93
30,39,January,64.4,150.02,1104.59,1319.01
31,40,January,26.439999999999998,189.37,1213.33,1429.1399999999999
32,42,January,7.88,173.25,1339.59,1520.7199999999998
33,43,January,24.630000000000003,218.51,1314.88,1558.02
34,44,January,42.68,203.89,1308.96,1555.53
35,45,January,21.01,199.06,1185.93,1406.0
36,46,January,35.88,196.22,1318.39,1550.49
37,47,January,32.54,195.14,1355.52,1583.2
38,48,January,8.69,215.7,1404.9,1629.29
39,49,January,34.67,179.16,1268.59,1482.4199999999998
40,50,January,34.44,218.65,1244.07,1497.1599999999999
41,51,January,9.37,213.99,1254.81,1478.17
42,52,January,46.24,220.62,1191.47,1458.33
43,53,January,49.510000000000005,193.04,1203.15,1445.7
44,54,January,18.47,221.63,1201.9,1442.0
45,55,January,30.07,220.02,1150.04,1400.1299999999999
46,56,January,40.79,208.99,1199.38,1449.16
47,58,January,60.22,222.46,1184.04,1466.72
48,59,January,50.61,191.17,1245.04,1486.82
49,60,January,58.08,198.54,1187.95,1444.5700000000002
50,61,January,49.61,226.95,1238.56,1515.12
51,62,January,83.4,240.35,1245.61,1569.36
52,63,January,38.34,167.07,1228.37,1433.78
53,64,January,53.34,218.74,1436.56,1708.6399999999999
54,65,January,105.51,174.84,1298.27,1578.62
55,66,January,47.370000000000005,204.21,1041.77,1293.35
56,67,January,87.75,188.24,1073.14,1349.13
57,68,January,130.51,204.11,1294.32,1628.94
58,70,January,30.24,194.04,1309.6,1533.8799999999999
59,71,January,52.1,207.88,1170.37,1430.35
60,72,January,49.739999999999995,212.99,1222.84,1485.57
61,74,January,54.970000000000006,193.04,1195.48,1443.49
62,75,January,80.14,213.37,1183.0,1476.51
63,76,January,102.32,194.25,1276.96,1573.53
64,77,January,33.83,213.7,1101.15,1348.68
65,78,January,94.14,223.55,1128.42,1446.1100000000001
66,79,January,155.06,203.3,1268.84,1627.1999999999998
67,80,January,202.11,204.66,1127.7,1534.47
68,81,January,110.14,163.95,1203.22,1477.31
69,83,January,17.52,184.56,1233.64,1435.72
70,84,January,160.2,187.55,999.07,1346.8200000000002
71,85,January,133.56,196.99,1271.31,1601.86
72,86,January,165.76,172.0,1199.78,1537.54
73,87,January,83.53,173.98,1389.48,1646.99
74,88,January,44.34,198.46,1449.89,1692.69
75,89,January,58.879999999999995,204.16,1046.83,1309.87
76,90,January,28.87,219.72,1202.92,1451.51
77,91,January,45.18,228.66,1155.59,1429.4299999999998
78,92,January,53.349999999999994,210.57,1187.76,1451.6799999999998
79,93,January,71.61,192.65,1090.6,1354.86
80,94,January,35.160000000000004,213.83,1087.87,1336.86
81,95,January,131.82,184.03,1004.26,1320.1100000000001
82,96,January,23.82,204.28,1132.07,1360.1699999999998
83,97,January,112.74,235.8,1247.77,1596.31
84,98,January,50.46,229.47,1240.02,1519.95
85,99,January,41.55,193.95,1471.74,1707.24
86,100,January,54.92,219.41,1344.85,1619.1799999999998
87,101,January,77.06,192.24,1095.95,1365.25
88,102,January,55.690000000000005,187.7,1184.22,1427.6100000000001
89,103,January,40.17,167.81,1343.83,1551.81
90,104,January,43.559999999999995,210.74,1273.21,1527.51
91,105,January,52.26,206.12,1222.6,1480.98
92,106,January,30.189999999999998,219.69,1089.79,1339.67
93,107,January,38.36,216.12,1187.01,1441.49
94,108,January,26.900000000000002,194.01,971.42,1192.33
95,109,January,67.11000000000001,217.26,1341.23,1625.6
96,110,January,48.75,237.61,1269.88,1556.2400000000002
97,111,January,62.709999999999994,246.03,1262.99,1571.73
98,112,January,48.4,215.45,1176.39,1440.24
99,115,January,23.310000000000002,205.77,1075.16,1304.24
100,116,January,40.78,207.77,1189.54,1438.09
101,117,January,91.09,201.67,1269.59,1562.35
102,118,January,55.739999999999995,188.49,1357.6,1601.83
103,119,January,41.81,231.55,1155.89,1429.25
104,120,January,38.22,215.25,1049.46,1302.93
105,121,January,34.12,202.93,1259.97,1497.02
106,122,January,57.19,229.75,1299.36,1586.3
107,124,January,106.66000000000001,216.79,1195.71,1519.16
108,125,January,54.599999999999994,174.87,1264.22,1493.69
109,126,January,82.19,224.73,1384.7,1691.62
110,127,January,92.25999999999999,191.81,1162.9,1446.97
111,128,January,96.07,173.65,1262.48,1532.2
112,129,January,46.769999999999996,205.8,1249.36,1501.9299999999998
113,130,January,60.269999999999996,193.8,1269.21,1523.28
114,131,January,36.4,185.11,1224.5,1446.01
115,132,January,54.0,231.67,1305.04,1590.71
116,133,January,58.900000000000006,201.19,1190.3,1450.3899999999999
117,134,January,36.92,198.96,1042.42,1278.3000000000002
