,vid,vehicle_class,vocation,vehicle_type,fuel_type,drivetrain_type,vehicle_construction_year,load_capacity,scheduled_maintenance,position_latitude,position_longitude,vehicle_status,licence_plate,accident_probability,predicted_maintenance_probability,predicted_weeks_until_maintenance
0,1,7,Beverage Delivery,Tractor,Diesel,Conventional,2005,17720,5,49.64210095,-89.67121571,on time,NRL-001,30,0.02258759,30
1,2,7,Beverage Delivery,Tractor,Diesel,Conventional,2011,15780,9,44.76976852,-84.3600452,delayed,NRL-002,75,0.02258759,30
2,3,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2012,56939,14,40.06830098,-83.30711626,delayed,NRL-003,11,0.02258759,30
3,4,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2008,37555,1,37.13277265,-88.87855997,on time,NRL-004,20,0.02258759,30
4,5,8,Beverage Delivery,Tractor,Diesel,Conventional,2009,23420,19,33.94141224,-86.96380166,accident,NRL-005,99,0.02258759,30
5,6,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2011,49103,13,38.83871967,-97.53730384,unused,NRL-006,90,0.02258759,30
6,8,8,Beverage Delivery,Tractor,Diesel,Conventional,2005,59639,11,34.04156909,-115.49507333,unused,NRL-007,85,0.02258759,30
7,9,4,Parcel Delivery,Walk In,Diesel,Conventional,2015,5674,14,35.16190917,-112.23236575,on time,NRL-008,72,0.02258759,30
8,10,4,Parcel Delivery,Walk In,Diesel,Parallel Hybrid,2000,6904,9,36.1965874,-98.62233877,on time,NRL-009,44,0.02258759,30
9,11,4,Parcel Delivery,Walk In,Diesel,Parallel Hybrid,2016,6655,3,48.77169151,-104.29666248,delayed,NRL-010,3,0.02258759,30
10,12,4,Parcel Delivery,Walk In,Diesel,Parallel Hybrid,2001,5940,3,39.57825738,-90.353542,idle,NRL-011,30,0.02258759,30
11,14,4,Parcel Delivery,Walk In,Diesel,Parallel Hybrid,2012,6732,3,44.20496963,-103.25839366,delayed,NRL-012,62,0.028451147,30
12,15,4,Parcel Delivery,Walk In,Diesel,Parallel Hybrid,2007,6066,1,44.09100459,-110.29767276,delayed,NRL-013,76,0.02258759,30
13,16,4,Parcel Delivery,Walk In,Diesel,Parallel Hybrid,2013,6475,3,39.23031496,-89.68955114,delayed,NRL-014,43,0.02977702,30
14,17,4,Parcel Delivery,Walk In,Diesel,Parallel Hybrid,2006,6083,16,49.82571262,-93.55800619,on time,NRL-015,70,0.028451147,30
15,18,4,Parcel Delivery,Walk In,Diesel,Parallel Hybrid,2005,6026,5,35.0405288,-97.2264202,on time,NRL-016,86,0.02258759,30
16,20,4,Parcel Delivery,Walk In,Diesel,Parallel Hybrid,2011,6217,0,42.89066309,-108.48388107,maintenance,NRL-017,16,0.02258759,30
17,23,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2010,35527,5,40.94904197,-89.79652353,accident,NRL-018,2,0.02258759,30
18,24,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2014,30673,18,40.39393895,-110.74365547,on time,NRL-019,54,0.02258759,30
19,25,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2004,49517,14,33.83234923,-98.09451104,on time,NRL-020,23,0.02258759,30
20,26,7,Warehouse Delivery,Straight Truck,Diesel,Conventional,2009,16796,7,47.57085852,-84.34535716,delayed,NRL-021,1,0.02258759,30
21,28,7,Warehouse Delivery,Straight Truck,Diesel,Conventional,2017,17601,6,46.49722579,-87.27120059,on time,NRL-022,22,0.02258759,30
22,29,7,Warehouse Delivery,Straight Truck,Diesel,Conventional,2000,16002,20,37.98380792,-116.74251449,on time,NRL-023,10,0.02258759,30
23,30,7,Warehouse Delivery,Straight Truck,Diesel,Conventional,2013,13626,10,38.0054055,-101.64145271,unused,NRL-024,32,0.02258759,30
